pid1,qid1,pid2,count,probability,context
6,,1036,345,0.034873142626099266,item
6,,525,3,0.0003032447184878197,item
6,,527,47,0.004750833922975842,item
6,,17,9631,0.9735166279187304,item
6,,530,13,0.001314060446780552,item
6,,1115,4,0.0004043262913170929,item
6,,30,281,0.028403921965025777,item
6,,31,9789,0.9894875164257556,item
6,,35,357,0.03608612150005054,item
6,,36,520,0.052562417871222074,item
6,,37,203,0.020519559284342466,item
6,,38,170,0.017183867380976447,item
6,,41,3356,0.33922975841504094,item
6,,1067,3,0.0003032447184878197,item
6,,47,1849,0.1868998281613262,item
6,,51,4,0.0004043262913170929,item
6,,1077,5,0.0005054078641463662,item
6,,1081,12,0.0012129788739512787,item
6,,1082,186,0.018801172546244818,item
6,,571,186,0.018801172546244818,item
6,,576,17,0.0017183867380976448,item
6,,580,152,0.01536439907004953,item
6,,582,130,0.013140604467805518,item
6,,585,1,0.00010108157282927322,item
6,,78,160,0.016173051652683717,item
6,,85,176,0.017790356817952088,item
6,,15,1,0.00010108157282927322,item
6,,92,8,0.0008086525826341858,item
6,,605,64,0.006469220661073486,item
6,,94,6621,0.669261093702618,item
6,,610,51,0.005155160214292935,item
6,,1125,10,0.0010108157282927323,item
6,,102,1,0.00010108157282927322,item
6,,105,1,0.00010108157282927322,item
6,,106,1,0.00010108157282927322,item
6,,107,16,0.0016173051652683716,item
6,,18,2052,0.20741938744566865,item
6,,112,14,0.0014151420196098251,item
6,,625,9651,0.9755382593753159,item
6,,122,69,0.006974628525219852,item
6,,635,18,0.001819468310926918,item
6,,1151,185,0.018700090973415545,item
6,,131,6519,0.6589507732740322,item
6,,132,9215,0.9314666936217527,item
6,,646,9495,0.9597695340139493,item
6,,138,123,0.012433033458000606,item
6,,140,1,0.00010108157282927322,item
6,,194,169,0.017082785808147174,item
6,,143,1,0.00010108157282927322,item
6,,1168,29,0.0029313656120489233,item
6,,1172,1,0.00010108157282927322,item
6,,150,448,0.045284544627514405,item
6,,793,3,0.0003032447184878197,item
6,,154,3,0.0003032447184878197,item
6,,155,169,0.017082785808147174,item
6,,156,143,0.01445466491458607,item
6,,158,1138,0.11503082987971293,item
6,,159,7,0.0007075710098049126,item
6,,163,384,0.03881532396644092,item
6,,1188,1,0.00010108157282927322,item
6,,166,39,0.003942181340341655,item
6,,1198,2,0.00020216314565854644,item
6,,691,23,0.002324876175073284,item
6,,701,2,0.00020216314565854644,item
6,,190,343,0.03467097948044071,item
6,,706,19,0.0019205498837561912,item
6,,708,27,0.002729202466390377,item
6,,1224,1,0.00010108157282927322,item
6,,1228,1,0.00010108157282927322,item
6,,206,16,0.0016173051652683716,item
6,,208,23,0.002324876175073284,item
6,,209,45,0.004548670777317295,item
6,,210,8,0.0008086525826341858,item
6,,213,9,0.000909734155463459,item
6,,214,354,0.03578287678156272,item
6,,1245,29,0.0029313656120489233,item
6,,263,1,0.00010108157282927322,item
6,,1249,6,0.0006064894369756394,item
6,,227,464,0.04690184979278277,item
6,,721,75,0.007581117962195492,item
6,,237,432,0.04366723946224603,item
6,,1116,24,0.0024259577479025574,item
6,,242,3700,0.3740018194683109,item
6,,244,89,0.008996259981805317,item
6,,757,11,0.0011118973011220055,item
6,,553,3,0.0003032447184878197,item
6,,764,69,0.006974628525219852,item
6,,981,1,0.00010108157282927322,item
6,,1281,2,0.00020216314565854644,item
6,,771,23,0.002324876175073284,item
6,,772,8011,0.8097644799353078,item
6,,773,2,0.00020216314565854644,item
6,,774,1,0.00010108157282927322,item
6,,775,1,0.00010108157282927322,item
6,,268,70,0.007075710098049126,item
6,,269,74,0.007480036389366219,item
6,,782,69,0.006974628525219852,item
6,,279,1,0.00010108157282927322,item
6,,1304,4,0.0004043262913170929,item
6,,281,7687,0.7770140503386233,item
6,,1313,10,0.0010108157282927323,item
6,,134,1,0.00010108157282927322,item
6,,806,18,0.001819468310926918,item
6,,807,4,0.0004043262913170929,item
